nama,latitude, longitude
Surabaya,-7.2575,112.7521
Malang,-7.9794,112.6200
Banyuwangi,-8.2295,114.3487
Jember,-8.1662,113.7032
Sidoarjo,-7.4667,112.6692
Mojokerto,-7.4833,112.4333
Blitar,-8.1000,112.1500
Pasuruan,-7.6625,112.4458
Lamongan,-7.1515,112.4200
Probolinggo,-7.7500,113.2100
Gresik,-7.1698,112.6471
Ponorogo,-7.4081,111.9997
Madiun,-7.6149,111.5278
Situbondo,-8.3569,114.1265
Kediri,-7.8167,112.0167
Bangkalan,-7.0994,113.4600
Tuban,-6.8125,112.0000
Magetan,-7.7833,111.9167
Ngawi,-7.6231,111.9052
